"dataset","type","access","source","provider","experiment","frequency","endpoint","dictionary"
"CORDEXbc_output_EUR-11_GERICS_NCC-NorESM1-M_rcp45_GERICS-REMO2015_v1_day","projections","opendap","CORDEX","ESGF","rcp45","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_GERICS_NCC-NorESM1-M_rcp45_GERICS-REMO2015_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_GERICS_NCC-NorESM1-M_rcp85_GERICS-REMO2015_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_GERICS_NCC-NorESM1-M_rcp85_GERICS-REMO2015_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_ICTP_ICHEC-EC-EARTH_historical_ICTP-RegCM4-6_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_ICTP_ICHEC-EC-EARTH_historical_ICTP-RegCM4-6_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_ICTP_ICHEC-EC-EARTH_rcp85_ICTP-RegCM4-6_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_ICTP_ICHEC-EC-EARTH_rcp85_ICTP-RegCM4-6_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_ICTP_MOHC-HadGEM2-ES_historical_ICTP-RegCM4-6_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_ICTP_MOHC-HadGEM2-ES_historical_ICTP-RegCM4-6_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_ICTP_MOHC-HadGEM2-ES_rcp85_ICTP-RegCM4-6_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_ICTP_MOHC-HadGEM2-ES_rcp85_ICTP-RegCM4-6_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_ICTP_MPI-M-MPI-ESM-LR_historical_ICTP-RegCM4-6_v1_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_ICTP_MPI-M-MPI-ESM-LR_historical_ICTP-RegCM4-6_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_ICTP_MPI-M-MPI-ESM-LR_rcp85_ICTP-RegCM4-6_v1_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_ICTP_MPI-M-MPI-ESM-LR_rcp85_ICTP-RegCM4-6_v1_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_IPSL_CNRM-CERFACS-CNRM-CM5_historical_IPSL-WRF381P_v2_day","projections","opendap","CORDEX","ESGF","historical","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_IPSL_CNRM-CERFACS-CNRM-CM5_historical_IPSL-WRF381P_v2_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
"CORDEXbc_output_EUR-11_IPSL_CNRM-CERFACS-CNRM-CM5_rcp85_IPSL-WRF381P_v2_day","projections","opendap","CORDEX","ESGF","rcp85","day","https://data.meteo.unican.es/thredds/dodsC/PTI-clima/projections/spain/CORDEXbc_output_EUR-11_IPSL_CNRM-CERFACS-CNRM-CM5_rcp85_IPSL-WRF381P_v2_day.ncml","../../Harmonization_dictionaries/CORDEXbc.dic"
